id_post,content,post_date,sentiment,share,source_division,title,total_comment,url,username,id_status
1,"VNPT - IT tuyển dụng Fresher fulltime/parttime Khu vực: Hà Nội, HCM, Đà Nẵng, Hải Phòng, Tiền Giang Các vị trí tuyển dụng: Lập trình (PHP, Java, .Net, Python, Nodejs, Frontend, iOS, Android, Flutter) Manual Tester AICV / AI NLP (Hà Nội) Data Engineer (Hà Nội) An toàn thông tin (Hà Nội) Gửi CV + bảng điểm để ứng tuyển Chương trình áp dụng cho các bạn sinh viên năm cuối hoặc mới tốt nghiệp không quá 1 năm khối ngành CNTT, ATTT, Kỹ thuật phần mềm Nhận lương lên đến 10tr/tháng tùy vị trí công việc ngay từ thời gian đào tạo Tham gia miễn phí các khóa đào tạo chuyên môn & kỹ năng mềm Tham gia hỗ trợ phát triển các sản phẩm với hàng chục triệu người dùng. Được tư vấn & định hướng nghề nghiệp từ các Mentors - những chuyên gia hàng đầu trong lĩnh vực CNTT. Cơ hội được tuyển dụng chính thức tại VNPT sau thời gian đào tạo với mức thu nhập năm hấp dẫn kèm các chế độ phúc lợi từ Tập đoàn VNPT ------------------------------------------------- Gửi hồ sơ ứng tuyển đến email: bannhansu.vnptit@vnpt.vn Tiêu đề email ghi rõ: Họ và tên_Vị trí dự tuyển_Địa bàn ứng tuyển",26-9-2022 21:38,,14,1,VNPT - IT tuyển dụng Fresher fulltime/parttime,163,https://www.facebook.com/groups/174764463261090/posts/1308631666541025/?__cft__[0]=AZVLi1f6e-luNHBJhySx0crOPoAHR_CQQi-tEzWxKHyuaKy9dUcO5IeLkHMKgkvAhBI8uDZw5XvWfop9S3vmNxVe5Lh9zFTcGeS4ytKSXkzkB8h2A7J4SwhXO5Ejtpw5GF25SCydL0fkbaqMQyJK5jFU&__tn__=%2CO%2CP-R,Tờ Jan,1
2,"[HN] FPT Software tìm kiếm FRESHER JAVA (Part-time) Đào tạo không yêu cầu kinh nghiệm, được nhận hỗ trợ 3-5M/ tháng Sau đào tạo offer mức lương 10-15M/ tháng Hỗ trợ dấu thực tập Bạn cần gì để ứng tuyển Fresher Java? - Nắm vững kiến thức về Lập trình hướng đối tượng, Java - Khả năng tiếng anh khá CV ứng tuyển gửi về địa chỉ: TrangKM@fsoft.com.vn",,,2,1,[HN] FPT Software tìm kiếm FRESHER JAVA (Part-time),33,https://www.facebook.com/groups/174764463261090/posts/1307237956680396/?__cft__[0]=AZWk9n-p3tCu31xLJVYFRsAF7ybz-6KnWBRraqSAKEgUOT6cqdM3JnCJaIWAO_oTiSZLAqF5708Z97g3vXYyO3m-QaNMJuNaufdBrsDu_uEhNFClxf9o8oDDpbrVzK15MZq2CJ47l6wX_yOldd95uB6l&__tn__=%2CO%2CP-R,Kim Minh Trang,158
3,"Xin phép admin!! [FPT SoftWare HN - ĐN] Tìm kiếm fresher Tháng 11 #Fresher Đào tạo từ đầu hỗ trợ 5-9m/tháng Vi trí: Fresher C#/.Net Fresher Java Fresher Embedded Fresher React Native Fresher Cloud Engineer Fresher Mobile (Android/IOS) Fresher Automation test Fresher Data Engineer - Không yêu cầu ứng viên có kinh nghiệm làm việc ngoài, chỉ cần có kinh nghiệm tham gia dự án trong lúc đi học. - Đào tạo lại từ đầu. - PV 1 vòng duy nhất. - Tham gia fultime t2 - t6. Sau 3 tháng đào tạo offer 10-15m! #Senior #Junior full các job với offer upto 1k -1k5 Apply gửi CV về nguyenthanhtra07092004@gmail.com Tiêu đề [Họ Tên]-[Vị trí apply]",4-10-2022 16:16,,4,1,Xin phép admin!!,58,https://www.facebook.com/groups/174764463261090/posts/1314787669258758/?__cft__[0]=AZVL9SuP6kpYYtQb53rEyMt1cZeWKi8xq04pIW8mh46UtfDAl2XI2tGB3tBykoKtn2LX3m5s3w1sYaT7QxL92Ld2FBr764Rb9_tVKmgvwRvSCTe7lMTu-jpLnyGpnRXudmkXFfC3bEQiZ75cp-LhBcq4&__tn__=%2CO%2CP-R,Nguyễn Thanh Trà,186
4,"[HN] Tuyển dụng Fresher Cloud Engineer  Lương 15-25M Chấp nhận SV năm cuối, lộ trình đào tạo rõ ràng",12-10-2022 09:14,,0,1,[HN] Tuyển dụng Fresher Cloud Engineer,24,https://www.facebook.com/groups/174764463261090/posts/1321473561923502/?__cft__[0]=AZUfODn7yY0D1ZuSZ95-uEMnel1pq_4DxjxChCoN16aoBuLB5fzO8astGyQyoavcO_YMR3O3e-Hih_c1IHjiQ10UwuRa7df_QwYX_TceYskagyx4i0ajyqm78_VYFG6nZoDgkSUO_PGiadhNzWyYBOWT&__tn__=%2CO%2CP-R,Nguyễn HR,240
5,"[𝐅𝐏𝐓 SOFTWARE] TUYỂN DỤNG FRESHER LẬP TRÌNH VIÊN Không yêu cầu kinh nghiệm – Được đào tạo Làm việc cho doanh nghiệp Việt Nam & Nước Ngoài ĐỐI TƯỢNG TUYỂN DỤNG: - Sinh viên từ năm 3 thuộc chuyên ngành CNTT - Các bạn thuộc chuyên ngành khác muốn thử sức trong lĩnh vực IT - Người muốn chuyển sang nghề lập trình. • Chấp nhận Non IT. QUYỀN LỢI • Cam kết được kí hợp đồng với doanh nghiệp ít nhất 1 năm khi đã hoàn thành khoá đào tạo • Mức lương khởi điểm từ tối thiểu từ 8 -12 triệu, có thể hơn tùy theo năng lực của từng cá nhân, lương thưởng đầy đủ. • Ứng viên được tự lựa chọn nơi làm việc theo mong muốn, doanh nghiệp có các chi nhánh ở Hà Nội,Đà Nẵng, TP HCM...), và cả ở nước ngoài: Nhật Bản, Úc,.. ngay sau khi học đào tạo xong. YÊU CẦU - Trải qua 1 khóa đào tạo ngắn về lập trình để nâng cao kiến thức chuyên môn trước khi đi vào làm việc chính thức( có trợ cấp tuỳ vào năng lực khi phỏng vấn nhé từ 5-7M) - Nghiêm túc, có chí muốn theo nghề Bạn nào quan tâm, muốn đăng kí nhận hỗ trợ đào tạo vui lòng inbox cho mình nhé. Apply to: uonghangkin@gmail.com",23-7-2022 22:58,,14,1,[𝐅𝐏𝐓 SOFTWARE] TUYỂN DỤNG FRESHER LẬP TRÌNH VIÊN,211,https://www.facebook.com/groups/174764463261090/posts/1264211630983029/?__cft__[0]=AZV8WXegJZad5UvTUHs9gDoxDSVfcsmF7hoTjPd9EjDuqzK-JI4BINgf7ol318BaxlAytG6IWrhB5d9kP0YEEiZXf2IdN67pUsssunyn2xh9BvCUO14-woaWQtslwBOZquiiX4ruQNiJo46OieEWkvcF&__tn__=%2CO%2CP-R,Hằng Kin,249
6,|HN| tìm UV cho job FRESHER !!! 1. FRESHER ANDROID DEVELOPER - 6 tháng kn làm việc với Java Android. - Biết Kotlin và làm việc với những công nghệ mới RxJava ... - Tiếng anh đọc hiểu. 2. Fresher Unity Developer - Có từ 6 tháng kn thực tế lập trình ngôn ngữ Unity - Có sản phẩm game demo,1-10-2022 16:01,,0,1,|HN| tìm UV cho job FRESHER !!!,8,https://www.facebook.com/groups/174764463261090/posts/1312299029507622/?__cft__[0]=AZWGfWeuFHtqAHMgJW-IGPfdP5cdNQj2W6v-tZIsfNJuDZPmPYdEQk9SkMMUKC-tzp_vnXLogfqqwO8qujPDYUNxcdayFUi55ttR_MvV3Gr_RL1atzZEEZTKvN2JlVsSUYZxLP8yufEeMFYx1PKyKpMy&__tn__=%2CO%2CP-R,Phương Edward,351
7,"[HCM] Tuyển dụng Intern/ Fresher đợt tháng 9  Công ty 1C Innovation hoạt động về mảng ERP mở tuyển đợt mới vị trí Developer cho intern/fresher. ĐC: Toà Mesa, 202 Lý Chính Thắng, Q.3, TP HCM. Môi trường trẻ trung, đãi ngộ siêu tốt   Yêu cầu: Part time: open cho sinh viên năm 3 và 4 với intern, full time cho fresher Biết ít nhất 1 ngôn ngữ code (ưu tiên Flutter) Có tiếng Anh là 1 lợi thế   Chế độ:  Intern có phụ cấp và flexible về thời gian, đc nhận ngay sau khi training. Mức lương hấp dẫn, đóng bảo hiểm từ khi ký hợp đồng, nhận lương net. Đồng nghiệp thân thiện, môi trường nhiều cơ hội phát triển bản thân. Làm việc từ 9am-6pm, Mon-Fri   Apply: gửi CV về email ly.duong@1ci.vn ",4-9-2022 15:10,,8,1,[HCM] Tuyển dụng Intern/ Fresher đợt tháng 9,101,https://www.facebook.com/groups/174764463261090/posts/1292529454817913/?__cft__[0]=AZVpDSgdL3yGmoQx7KgyWLK4pIq08N2IuN8_BIBzkDGndrmOd5REPfdHwtgeYqtlaT3ygxN10oyEex7jgm-olNTFFvHet7DntdstRu777ZnOmOFoCnsaTcwAB7kjP1qs0fYqEhchXxJyiWIZxqrRAEyG&__tn__=%2CO%2CP-R,Ly Duong,352
8,"Evotek tuyển dụng Fresher NodeJS/Java/FrontEnd Yêu cầu: · Sinh viên năm cuối, Có thể đi làm fulltime · Đã có kinh nghiệm thực tế · Nhanh nhẹn, hòa đồng, năng nổ Benefits: · Hỗ trợ 3-10M cho TTS, Fresher up to 15M tùy thuộc vào kỹ năng và mức độ đóng góp cho Công ty . · Có cơ hội được điều chỉnh mức phụ cấp và ký HĐ với Công ty khi có đánh giá và đề xuất của quản lý trực tiếp. · Được hướng dẫn và đào tạo bởi các trưởng nhóm có kinh nghiệm. · Tham gia vào các dự án thực tế tại Công ty. Địa chỉ: Dịch Vọng Hậu, Cầu Giấy, Hà Nội. Thời gian làm việc: Thứ 2 - thứ 6, 8h30-17h30 Contact để nhận Jd chi tiết công việc. CV gửi về: hang.nguyenthanh@evotek.vn",23-9-2022 20:43,,1,1,Evotek tuyển dụng Fresher NodeJS/Java/FrontEnd,34,https://www.facebook.com/groups/174764463261090/posts/1306163806787811/?__cft__[0]=AZXaxzchxfdjzV2XTq5YnhjF3kg4JW19Ky5MWXM5qOQsXDqwqzYBZfRbifJTKOl574aK8cLdANqtyw0cHuT_PDMMJBHKsgL0D1-Vv3jVMHTusCkyLoa9Pckw1UTfnvLUMNwCgHeblldhQ6iIwwar5bH3&__tn__=%2CO%2CP-R,Thanh Hằng,449
9,"Evotek tuyển dụng Fresher NodeJS/Java/FrontEnd Yêu cầu: · Sinh viên năm cuối, Có thể đi làm fulltime · Đã có kinh nghiệm thực tế  · Nhanh nhẹn, hòa đồng, năng nổ Benefits: · Hỗ trợ 3-10M cho TTS, Fresher up to 15M tùy thuộc vào kỹ năng và mức độ đóng góp cho Công ty . · Có cơ hội được điều chỉnh mức phụ cấp và ký HĐ với Công ty khi có đánh giá và đề xuất của quản lý trực tiếp. · Được hướng dẫn và đào tạo bởi các trưởng nhóm có kinh nghiệm. · Tham gia vào các dự án thực tế tại Công ty. Địa chỉ: Dịch Vọng Hậu, Cầu Giấy, Hà Nội. Thời gian làm việc: Thứ 2 - thứ 6, 8h30-17h30 Contact để nhận Jd chi tiết công việc. CV gửi về: hang.nguyenthanh@evotek.vn",21-9-2022 16:30,,1,1,Evotek tuyển dụng Fresher NodeJS/Java/FrontEnd,73,https://www.facebook.com/groups/174764463261090/posts/1304719310265594/?__cft__[0]=AZU-Yh3XYHmco3eBhfoxE08YUGD-I0kA5RbTScSaqkqzoPBIYfQYJflNA5aKM9DeOaHG5XyDhZVbPelNbeVgKP__mymN07n-yMeO5VXPtcln2wZVbtLp5vEjhtpOvotSKZgsNoorxD6oFvw3kA-Wl5FH&__tn__=%2CO%2CP-R,Thanh Hằng,477
10,"itCommerce cần tuyển Fresher Python Developer fulltime - KHÔNG YC KINH NGHIỆM - ĐÀO TẠO TỪ ĐẦU Được đào tạo bài bản từ A-Z Có hỗ trợ 8.000.000-12.000.000đ/ tháng Chấp nhận sinh viên mới ra trường, chờ bằng, trái ngành Yêu cầu: tiếng Anh cơ bản, đã từng tìm hiểu về Python, có định hướng lập trình Web, app Địa chỉ làm việc: Tòa Lilama 10 - Tố Hữu - NTL - HN Gửi CV: hr@litcommerce.com",6-10-2022 11:07,,1,1,itCommerce cần tuyển Fresher Python Developer fulltime - KHÔNG YC KINH NGHIỆM - ĐÀO TẠO TỪ ĐẦU,10,https://www.facebook.com/groups/174764463261090/posts/1316316695772522/?__cft__[0]=AZXwoH52WWUzMuz5AgC-gxxZ3YNCQGuqIXRWYx7jBKXbwj5WE_3IJ6sKh8sN9ltg2acmcqwunIfk48yQbfEVKoEcNJ0v4FBFUT35rUyRVyn8NR7rI-vvR6NvpwaDJTM8AknN3OS1qbZVSgg4-Ewze_FX&__tn__=%2CO%2CP-R,Diệp Nguyễn,544
