id_reply,id_comment,post_date,sentiment,content,id_status
1,1,,,Phạm Thị Như Hiếu bạn check ib mình nhé,3
1,3,,,Hoàng Nhi em check ib c nhé,6
1,4,,,Đỗ Tình em check ib c nhé,8
1,7,,,Nguyễn Quang Huy em check ib c nhé,12
1,8,,,Thành Hải em check ib c nhé,14
1,10,,,Tiến Anh em check ib c nhé,17
2,11,28-9-2022 13:58,,Nga Nguyễn tăng tương tác zí em đó,19
1,11,,,Long Nguyễn like gì lắm z a :<,20
2,11,28-9-2022 14:19,,Nga Nguyễn em check ib c nha,21
1,13,,,Thu Trang em check ib c nhé,24
1,14,,,Thiên Phước em check ib c nhé,26
1,15,,,Lê Hoàng Long bất ổn quá a,28
1,16,,,Danh Lê bạn check ib mình nhé,30
1,17,28-9-2022 11:14,,"Nguyen Quốc Anh Quân HCM thì hiện tại bên chị đang tuyển Android, ios, Flutter, FE, Java, .Net, Python, Nodejs thui em nha",32
1,18,,,Ngọc Thành em check ib c nhé,34
1,19,27-9-2022 16:31,,https://tieudiem.12h.biz/tang-code-trai-nghiem-100k...,36
2,19,28-9-2022 11:08,,Lê Hoàng Trung em check ib c nhé,37
2,21,28-9-2022 21:25,,Nguyễn Đình Biển mời bạn cho t jd,40
1,21,,,Xoan Hoàng apply bên t đi,41
2,21,30-9-2022 20:19,,Xoan Hoàng em check ib c nhé,42
1,25,,,Nguyễn Duy Trung em check ib c nhé,47
1,27,,,Võ Hoàng Nam hiện bên mình chưa tuyển ạ,50
1,28,,,Minh Quân em check ib c nhé,52
1,29,,,Phạm Long em check ib c nhé,54
1,30,,,Nguyễn Hữu Quân em check ib c nhé,56
1,31,,,Lương Thị Thanh em check ib c nhé,58
1,32,28-9-2022 11:12,,Nguyễn Xuân Nguyễn AI bên chị hiện tại chỉ tuyển Hà Nội thôi em ạ,60
1,33,,,Tuấn em check ib c nhé,62
1,34,,,Thi Thư em check ib c nhé,64
1,35,,,Nguyễn Văn Nam em check ib c nhé,66
1,37,,,Quang Huỳnh em check ib c nhé,69
2,38,4-10-2022 13:15,,Phạm Minh Hiếu xin hộ bn,71
1,38,,,Huy Reeve tưởng làm viettel ông,72
2,38,4-10-2022 11:55,,Huy Reeve em check ib c nhé,73
1,39,,,Nam Anh em check ib c nhé,75
1,40,,,Nguyễn Hoàng em check ib c nhé,77
1,41,,,Trần Thế Ngọc em check ib c nhé,79
1,42,,,Miinh Anh em check ib c nhé,81
1,43,,,Lê Sơn em check ib c nhé,83
1,45,,,Anh Thi e check ib c nhé,86
1,46,30-9-2022 20:21,,Khôi Lê ATTT hiện tại bên chị chỉ tuyển ở HN thôi em ạ. HCM bên chị đang tuyển Dev và Test thôi nè,88
1,48,,,Thu Le em check ib c nhé,91
1,49,,,Hoang Lương em check ib c nhé,93
1,50,,,Thế Lân em check ib c nhé,95
1,51,,,Nguyễn Duy Khánh em check ib c nhé,97
1,53,,,Trần Hữu Tài em check ib c nhé,100
1,54,,,Liên Lạnh Lùng em check ib c nhé,102
1,55,,,Quoc Nguyen em check ib c nhé,104
1,56,,,Minh Nhật em check ib c nhé,106
1,57,,,Trần Nguyễn Thành Đạt em check ib c nhé,108
1,58,,,Ngài Trọng em check ib c nhé,110
1,59,,,Aiden Nguyễn em check ib c nhé,112
1,60,,,Đỗ Đức Mạnh em check ib c nhé,114
